Make,Model,Year,Color,Miles per Gallon,Capacity: cubic ft,Miles per hour,Value: $,Action
Toyota,Sienna,2008,Blue,19,38.4,200,29000,Sell
Toyota,Sienna,2010,Black,20,38,200,35000,Sell
Honda,Odyssey,2015,Black,19.7,40,190,38500,Buy
Toyota,Sienna,2015,Blue,20,40,210,38700,Sell
Chevrolet,Tahoe,2017,White,17,35,240,41000,Buy
Honda,Odyssey,2017,Tan,20,40,200,39090,Buy
Toyota,Sienna,2014,White,20,38,200,36500,Buy
Honda,Odyssey,2015,Black,19.7,40,190,38500,Sell
Toyota,Sienna,2017,Blue,22,41,220,38700,Buy
Chevrolet,Tahoe,2017,White,17,35,240,41000,Sell
